loop_name,N,seconds,TFLOPS,AI
convergence_loop,201,0.0000553750,0.0014302844,0.1250
update_loop,201,0.0000378330,0.0062803901,0.1250
convergence_loop,201,0.0000584170,0.0013558040,0.1250
update_loop,201,0.0000255000,0.0093178824,0.1250
convergence_loop,201,0.0000428330,0.0018490883,0.1250
update_loop,201,0.0000212910,0.0111599267,0.1250
convergence_loop,201,0.0000576250,0.0013744382,0.1250
update_loop,201,0.0000360830,0.0065849846,0.1250
convergence_loop,201,0.0000622910,0.0012714838,0.1250
update_loop,201,0.0000328330,0.0072368044,0.1250
convergence_loop,201,0.0000578330,0.0013694949,0.1250
update_loop,201,0.0000278750,0.0085239821,0.1250
convergence_loop,201,0.0000587080,0.0013490836,0.1250
update_loop,201,0.0000232910,0.0102016229,0.1250
convergence_loop,201,0.0000635830,0.0012456474,0.1250
update_loop,201,0.0000248750,0.0095520000,0.1250
convergence_loop,201,0.0000693750,0.0011416505,0.1250
update_loop,201,0.0000290410,0.0081817431,0.1250
convergence_loop,201,0.0000366660,0.0021600938,0.1250
update_loop,201,0.0000212500,0.0111814588,0.1250
convergence_loop,201,0.0000779590,0.0010159443,0.1250
update_loop,201,0.0000225000,0.0105602667,0.1250
convergence_loop,201,0.0000720000,0.0011000278,0.1250
update_loop,201,0.0000273750,0.0086796712,0.1250
convergence_loop,201,0.0000695830,0.0011382378,0.1250
update_loop,201,0.0000307500,0.0077270244,0.1250
convergence_loop,201,0.0000501660,0.0015787984,0.1250
update_loop,201,0.0000431250,0.0055097043,0.1250
convergence_loop,201,0.0000694170,0.0011409597,0.1250
update_loop,201,0.0000336670,0.0070575341,0.1250
convergence_loop,201,0.0000654590,0.0012099482,0.1250
update_loop,201,0.0000240410,0.0098833659,0.1250
convergence_loop,201,0.0000648330,0.0012216310,0.1250
update_loop,201,0.0000331670,0.0071639280,0.1250
convergence_loop,201,0.0000595830,0.0013292718,0.1250
update_loop,201,0.0000313330,0.0075832509,0.1250
convergence_loop,201,0.0000577500,0.0013714632,0.1250
update_loop,201,0.0000289170,0.0082168275,0.1250
convergence_loop,201,0.0000560410,0.0014132867,0.1250
update_loop,201,0.0000243750,0.0097479385,0.1250
convergence_loop,201,0.0000742080,0.0010672973,0.1250
update_loop,201,0.0000192080,0.0123701583,0.1250
convergence_loop,201,0.0000416670,0.0019008328,0.1250
update_loop,201,0.0000400840,0.0059277018,0.1250
convergence_loop,201,0.0000392090,0.0020199954,0.1250
update_loop,201,0.0000371250,0.0064001616,0.1250
convergence_loop,201,0.0000557500,0.0014206637,0.1250
update_loop,201,0.0000312090,0.0076133808,0.1250
convergence_loop,201,0.0000403750,0.0019616594,0.1250
update_loop,201,0.0000202920,0.0117093436,0.1250
convergence_loop,201,0.0000796250,0.0009946876,0.1250
update_loop,201,0.0000458750,0.0051794223,0.1250
convergence_loop,201,0.0000471250,0.0016806790,0.1250
update_loop,201,0.0000322920,0.0073580453,0.1250
convergence_loop,201,0.0000551250,0.0014367710,0.1250
update_loop,201,0.0000316670,0.0075032684,0.1250
convergence_loop,201,0.0000603330,0.0013127476,0.1250
update_loop,201,0.0000280410,0.0084735209,0.1250
convergence_loop,201,0.0000638750,0.0012399530,0.1250
update_loop,201,0.0000300830,0.0078983479,0.1250
convergence_loop,201,0.0000525420,0.0015074036,0.1250
update_loop,201,0.0000332080,0.0071550831,0.1250
convergence_loop,201,0.0000553750,0.0014302844,0.1250
update_loop,201,0.0000257500,0.0092274175,0.1250
